carat,cut,color,clarity,depth,table,price,x,y,z
0.51,Very Good,F,VS2,63.2,56,1574,5.1,5.06,3.21
0.52,Ideal,D,SI1,61.5,55,1600,5.19,5.22,3.2
0.31,Ideal,E,VVS1,61.1,56,863,4.36,4.38,2.67
0.5,Ideal,F,SI1,59.9,56,1378,5.36,5.09,3.13
1.11,Very Good,J,VS2,63.2,59,3730,6.55,6.46,4.11
0.65,Ideal,G,IF,60.1,57,3536,5.61,5.65,3.38
1.15,Ideal,I,SI2,61.3,57,5216,6.78,6.71,4.13
0.31,Ideal,H,VS2,61.5,57,489,4.33,4.38,2.68
2,Premium,I,VS1,61.1,58,17436,8.11,8.08,4.95
1.55,Ideal,H,VS1,60.6,57,12087,7.51,7.47,4.54
1.34,Very Good,H,VS2,61.4,58,7965,7.13,7.07,4.36
0.27,Ideal,F,VS2,60.3,56,577,4.24,4.27,2.56
1.7,Premium,G,VS2,60.3,60,15941,7.72,7.64,4.63
0.57,Premium,D,VS2,60.8,59,2019,5.38,5.34,3.26
0.31,Premium,G,IF,61,59,988,4.36,4.33,2.65
0.91,Good,E,SI2,63.9,61,3538,6.03,6.09,3.87
0.43,Ideal,G,VVS2,62,55,954,4.86,4.89,3.02
0.87,Premium,D,SI1,62.1,58,4189,6.08,6.13,3.79
0.4,Good,G,SI2,60.6,55.8,672,4.76,4.82,2.91
0.32,Very Good,E,VVS2,61.6,54,816,4.43,4.46,2.74
0.71,Ideal,D,SI2,61,56,2505,5.77,5.8,3.53
0.39,Very Good,H,VVS1,61.5,56,926,4.7,4.73,2.9
1.1,Premium,I,SI1,60.4,61,4312,6.73,6.69,4.05
0.92,Ideal,G,SI2,63,57,3697,6.16,6.13,3.87
0.5,Premium,G,VVS2,62.1,61,1806,5.1,5.07,3.16
0.4,Ideal,E,VVS1,61.7,55,1824,4.76,4.74,2.93
1.34,Very Good,H,SI2,61.1,63,4352,7.08,7.01,4.3
0.55,Ideal,E,VS1,61.7,55,2079,5.29,5.27,3.26
1.01,Good,E,VVS2,63.3,58,8752,6.31,6.39,4.02
0.42,Premium,G,SI1,62.7,58,687,4.75,4.79,2.99
0.4,Very Good,E,SI1,63.2,56,882,4.69,4.65,2.95
2.04,Ideal,J,SI1,62.6,55,12696,8.08,8.12,5.07
1.04,Ideal,G,SI2,61.4,57,4375,6.48,6.54,4
0.57,Ideal,D,VS2,61.8,55,1981,5.32,5.34,3.29
1.16,Very Good,H,SI2,59.6,59,4455,6.85,6.87,4.09
1.5,Premium,I,VS2,62.5,59,9055,7.3,7.26,4.55
0.71,Ideal,F,VS1,61.4,56,3710,5.75,5.78,3.54
0.7,Good,G,VS2,62.6,61,2699,5.57,5.61,3.5
1.31,Ideal,I,VS2,62.4,57,6338,6.93,6.97,4.34
1.02,Premium,G,VVS2,62.6,59,7741,6.46,6.41,4.03
0.62,Premium,G,VS2,61.1,59,1841,5.56,5.5,3.38
0.77,Good,H,VVS1,63.1,57,3096,5.83,5.86,3.69
1.5,Very Good,J,VS2,63.3,57,7428,7.2,7.25,4.57
0.72,Ideal,D,VS2,60.8,56,3179,5.8,5.84,3.54
1,Very Good,D,SI2,62.5,58,4661,6.35,6.44,4
0.35,Ideal,E,VS1,61.5,57,718,4.52,4.55,2.79
0.9,Fair,I,SI2,67.7,61,2422,6.04,5.86,4.03
2,Very Good,G,SI1,62.5,58,18186,7.98,8.04,5.01
0.34,Premium,G,VS2,61.2,59,765,4.49,4.43,2.73
0.72,Ideal,I,VVS2,62.5,56,2594,5.71,5.74,3.58
0.36,Premium,J,SI1,61.6,60,527,4.58,4.54,2.81
0.9,Very Good,E,VS2,62.1,55,4919,6.14,6.23,3.84
1.16,Premium,E,SI1,61.3,60,6366,6.7,6.64,4.09
1.01,Ideal,E,I1,62,57,3450,6.41,6.37,3.96
2,Premium,I,VS2,61.8,56,17716,8.11,8.04,4.99
0.71,Ideal,D,SI1,62,55,3252,5.71,5.76,3.56
2.31,Very Good,J,VS2,59.7,60,14830,8.53,8.59,5.11
0.5,Premium,E,VS2,62.3,60,1624,5.05,5.09,3.16
0.51,Ideal,H,SI2,61.9,54,983,5.13,5.15,3.18
0.82,Ideal,F,SI2,61.7,53,2867,6.12,6,3.74
1.2,Premium,D,VS2,61.1,58,10161,6.85,6.83,4.18
0.5,Good,G,SI1,62.5,64,1286,4.99,4.93,3.1
0.7,Fair,H,VS2,67.8,56,2351,5.42,5.38,3.66
1.52,Good,F,SI2,58.2,60,9028,7.52,7.63,4.41
0.4,Ideal,G,VS2,62.3,57,807,4.7,4.71,2.93
0.72,Very Good,E,SI2,59.9,57,2573,5.85,5.9,3.52
1.01,Very Good,F,SI1,62.1,57,4969,6.41,6.48,4
